SubjectId,GLCM_ASM_Mean,GLCM_Contrast_Mean,GLCM_Correlation_Mean,GLCM_SumOfSquaresVariance_Mean,GLCM_InverseDifferenceMoment_Mean,GLCM_SumAverage_Mean,GLCM_SumVariance_Mean,GLCM_SumEntropy_Mean,GLCM_Entropy_Mean,GLCM_DifferenceVariance_Mean,GLCM_DifferenceEntropy_Mean,GLCM_Information1_Mean,GLCM_Information2_Mean,GLCM_MaximalCorrelationCoefficient_Mean
case_00000,0.8215245978099405,156.66732774180014,0.9138368461967978,916.976312942373,0.9725347173027653,500.7446256611274,3511.2379240276778,0.622684290866046,0.6754009695260834,0.0035022216876152523,0.31183870716561646,-0.4579981122506783,0.5719658854042603,0.8194896553919462
case_00001,0.7135361039772501,237.08991693273705,0.8830702029198674,1026.6792638879783,0.9573454373419211,499.95081960606177,3869.62713861917,0.8943743284925165,0.9762979329043127,0.003304375379207062,0.4311564487947709,-0.4298854850828026,0.6403962585497891,0.8815548579606814
case_00002,0.7294552454654348,185.7960234075602,0.9111546751346159,1057.0343290346623,0.9674737536839175,499.7005903072595,4042.3412927310765,0.8575800348403646,0.9201540613477648,0.0034349291071467413,0.35441776467886343,-0.5221326092243948,0.6896739024989439,0.9838107335213719
case_00003,0.7579326066381787,152.921348155907,0.9371513561662131,1225.6969263237406,0.9687141651961221,498.26796783817997,4749.866357139036,0.7948717612337778,0.8556751685535517,0.003448757138161652,0.3439825207098624,-0.5137230560381749,0.6664214796111805,0.918146676230373
case_00004,0.7267301834761359,85.21581929539067,0.9411971549418513,731.6521158456934,0.967349124444805,502.3621716296187,2841.3926440873943,0.8366610207197411,0.9008094840356382,0.003423773867312407,0.3512880143927087,-0.5055784889027389,0.6728154147099134,0.9619505631503075
case_00005,0.7591570377855312,141.87570460930405,0.9034787016617941,743.9978732171384,0.9672686895715814,502.22343306492144,2834.1157882592524,0.7689206449908903,0.8325116358829361,0.003427659312746416,0.35512363013298587,-0.4641709173808545,0.6269732637250189,0.9140613173051635
case_00006,0.6906078873487046,355.0957293541409,0.9003032265097896,1831.1375485003741,0.9537933095206851,493.27722142891486,6969.45446464736,0.9952475663654557,1.0833200560141298,0.003268604755240272,0.46025161618295723,-0.4685877849323075,0.6938517745210249,0.8767639867702408
case_00007,0.6855030875921702,45.848360443394306,0.9566987493237508,537.5090224322429,0.9639749964059552,503.98681708218675,2104.187729285571,0.9104909276474185,0.981914580205221,0.0033749249022522344,0.37421114942951633,-0.4981964807015463,0.6885145656357987,0.9753491598809743
case_00008,0.7407980757903088,384.94003377778785,0.8854580792095587,1746.8168091977943,0.9608345256260182,493.9360293839182,6602.3272030133585,0.8730392426171286,0.9463687955877346,0.003364503309133313,0.40845751019747883,-0.48605055180764395,0.6719142875460901,0.8717459799239132
case_00009,0.8053162148670048,76.63496957473112,0.9697399455800519,1283.9826629902595,0.9754837771187872,497.7418443793141,5059.295682386302,0.6756602250803478,0.7236703596632276,0.0035354252541252456,0.2844688397536871,-0.5488479823164043,0.6473350445951191,0.9109141599726224
case_00010,0.7366757799179424,131.8639616934002,0.9527967476426041,1417.7417789704543,0.9717906168165469,496.7190794991535,5539.1031541884095,0.8531206329196175,0.907577179703235,0.003489407326757242,0.31666064139422506,-0.5878208080218017,0.7262993102088449,0.9993118996774998
case_00011,0.5938256439682736,364.7107004802719,0.9271908981865138,2524.013468755055,0.9563504962013029,487.4968438314799,9731.34317453994,1.2326944075677004,1.3151025237445186,0.0033032713337446625,0.441191655382637,-0.5783631909684918,0.8088912826772447,1.0210378892073244
case_00012,0.7342013342326893,174.13791761215015,0.9471335110547442,1670.6977526892033,0.9650194704581595,494.58813580553266,6508.653093144671,0.8760436431756754,0.9435262105658087,0.0034003233860287517,0.3731029582609724,-0.5248718911838487,0.6976647003269412,0.9127184556987074
case_00013,0.7215446070962155,122.1078327584248,0.9772789288158154,2727.349838242776,0.9661663876244073,485.5599327066901,10787.291520212671,0.9403219568185063,1.0062996527435137,0.0034108223956724614,0.3625623084309047,-0.5860710115097576,0.751003016657295,0.9059674820515471
case_00014,0.6912110414387856,225.90776185087148,0.9299991593760316,1634.5925811584793,0.9609606364710037,494.945022766358,6312.462562783064,0.9787767343076637,1.0538482151902926,0.0033507083117196392,0.4055348694975797,-0.5212143459617046,0.7226145496454186,0.9519904598346343
case_00015,0.6878953560926574,90.76877636226723,0.9705285891538048,1567.557414904017,0.9629782071281294,495.5210029540989,6179.460883253787,0.968591988106116,1.0414017391789276,0.0033654310535708356,0.3846203122545426,-0.536286858223932,0.7284464699642925,0.9464782429030041
case_00016,0.6878771463350802,430.41904271173553,0.9215471210617385,2771.0835914509717,0.9572492233953819,485.2031304420534,10653.915323092158,1.0392942225589745,1.1191767217173927,0.003321033571772366,0.43626727095170875,-0.5303877567694029,0.7424328371846456,0.9076630721133779
case_00017,0.6350976263115479,237.77166942718654,0.9605279400551674,3069.050245504848,0.9559651405934305,482.6627647158599,12038.429312592209,1.1631845034801924,1.2479629231683422,0.0032867055866625935,0.4404532514663216,-0.5667572365298205,0.7901743104037382,0.9473344849861972
case_00018,0.7062494269189048,114.6105019901179,0.9443625004835167,1044.1065686240909,0.9638521710095683,499.8256882986028,4061.8157725062474,0.9044315606235485,0.9753162361631017,0.0033790136398183517,0.3801274745485884,-0.5052010805131372,0.6929426916629234,0.9532876317715953
case_00019,0.73317404243685,165.61949942509935,0.940150114916766,1405.615978873397,0.9670069841184458,496.8072887221737,5456.844416068502,0.8645247215751157,0.9284536991975176,0.00342651778789943,0.3578717976744501,-0.5360726461920352,0.700866688789935,0.953724266060192
case_00020,0.7375717825205529,160.26741174961592,0.9420004529804026,1403.5264783362643,0.9669958547789841,496.8205116070312,5453.838501595428,0.8550203833933344,0.9188028131183417,0.0034257464371347172,0.3577134849929045,-0.5309732841264501,0.6951801042747152,0.9437388055702993
case_00021,0.7623938710422108,196.28382566029262,0.9105659417950408,1106.6378143436523,0.9711494161047172,499.25617590972774,4230.267431714301,0.780952915199705,0.8358429180286561,0.00348721026193585,0.3230395500614333,-0.5382964639097974,0.6751350195206866,0.970741207386943
case_00022,0.7225553105731598,262.987142274717,0.8535585910996772,908.0365687527615,0.9617660117264786,500.92307402915606,3369.159132736332,0.8697483014849214,0.9424702731806908,0.003365131636128234,0.39978323210491395,-0.46061178135179437,0.654168260142935,0.955386879864374
case_00023,0.7298453521624976,118.90288568679642,0.9466866687152998,1132.3731663747171,0.9642166676462108,499.06814583175253,4410.589779812057,0.8557477460612806,0.925856330937244,0.0033842251358051564,0.3777645398204484,-0.4912374096312492,0.6710449550882758,0.9123780236858843
case_00024,0.6969444771012292,117.64044180200864,0.9725251993164813,2172.3707143597535,0.966546438726631,490.3833247407775,8571.842415636998,0.9768813915287725,1.042182246528241,0.003415572980822482,0.35950654876473354,-0.5876955674383215,0.7603388979024154,0.9716638036499639
case_00025,0.7171909379277894,150.97644503502542,0.9423444745315346,1319.571457985619,0.9630698991693953,497.53744704584904,5127.3093869074655,0.8974991833364802,0.9692394696947295,0.0033721616569914606,0.3867223826125653,-0.5018741043022055,0.6887490501112281,0.9204881085125417
case_00026,0.7367034498080022,384.72259625846885,0.8882234405215871,1764.0594648223705,0.9598142145304455,493.7947577486426,6671.51526303101,0.8841762604959057,0.9592884146624686,0.0033508204449104006,0.41638567017954625,-0.47829016335421226,0.6702298258731071,0.8658639472672808
case_00027,0.7656479218652521,141.35038701883153,0.9380690933959092,1158.9779260836892,0.9687715117564443,498.81509862812953,4494.561317315921,0.7754445283656443,0.8360071188024043,0.003448113351012114,0.3431945662816199,-0.5041392498983861,0.6549611402006821,0.9077309252696343
case_00028,0.7119127787514135,138.42163970758673,0.9279999997582571,987.2216678960255,0.960068568491584,500.28103657419194,3810.4650318765175,0.8910010521938941,0.9690462248194124,0.003330949850309762,0.40878909589311924,-0.4593785912306414,0.6600181280249514,0.9010812654856484
case_00029,0.7612585955998138,231.67393844988231,0.913437328626265,1390.5318402328814,0.969662716577801,496.90378902570103,5330.453422481635,0.8002832313114854,0.8585172112769814,0.0034697564078496656,0.3377100085446608,-0.5393980255028514,0.6832771859779351,0.9519741980295581
case_00030,0.7087655908991041,235.41221992392232,0.8726969467602022,944.0473971719923,0.9622417955078165,500.65040075530874,3540.777368764055,0.8976442818568379,0.9696540883203484,0.0033700034915268443,0.39277133979378687,-0.48201169520425774,0.6732852906500898,0.9662599239739316
case_00031,0.6954414361328568,117.7982636138936,0.9864826365579311,4449.851878002563,0.9703356752155174,470.03880968906236,17681.60924839636,1.0410247477807395,1.098876804002016,0.0034674461151821597,0.32956730263513223,-0.6737802835106577,0.8193609342765372,0.9664523098598118
case_00032,0.8068787848246697,151.33224506977479,0.9464785362152134,1437.446861091464,0.97309761026932,496.45638936288225,5598.4551992960805,0.6803385030102732,0.7323039944061561,0.0035092005350795337,0.30809197307729597,-0.5196682928162506,0.6328648025354832,0.8453481009550023
case_00033,0.7161998990275181,190.00158548386736,0.9425196763349075,1679.3174782686501,0.9644300270743597,494.5448393284783,6527.268327590743,0.9201716107519169,0.9888034616399834,0.0033938081452851484,0.3783964996948196,-0.531322386913081,0.7134627246759702,0.9355146431559764
case_00034,0.6643858921649394,409.8130032016368,0.8480603286110925,1355.9029381610476,0.9548388109990831,497.29606937804783,5013.79874944256,1.0325348520790532,1.1179805698841476,0.0032873628902045622,0.45434036138694955,-0.4766248834855193,0.7071810854854234,0.9680466904735969
case_00035,0.7267389295841074,101.4930405503525,0.9425009087365563,901.3349400481719,0.9675892807292725,500.980092412636,3503.846719642342,0.8494347051996191,0.912916144152342,0.0034282378125527987,0.3509290497373102,-0.5206670123083783,0.6868002768883433,0.969511189053981
case_00036,0.6747127566842142,351.03896641541036,0.8981288306301002,1753.8709277199882,0.9572613272231651,493.96189104954743,6664.444744464552,1.0287988425157966,1.1099559328863045,0.00331362993556412,0.4356008557612561,-0.5045646894692495,0.7240914817122183,0.9491661235782863
case_00037,0.7155772308624504,143.68844992530333,0.8934709511561111,685.1688895287796,0.9661104285964104,502.7563372107454,2596.9871081897963,0.8640574696370117,0.9299327401218408,0.003412133690138874,0.3641249539105213,-0.5003819473511557,0.6782056260769546,0.982093278610937
case_00038,0.7073152660964286,236.87027252017822,0.9181047129042893,1462.5020289222666,0.9617047018679583,496.3619803730831,5613.137843168894,0.9300975658557392,1.0033214450528392,0.0033630647693626402,0.3969674138707417,-0.5055957986418362,0.697660527338305,0.9393466321875052
case_00039,0.7088335091835559,307.1852552960342,0.9134014538248153,1790.3141166345258,0.961295203183674,493.6089136174435,6854.071211242063,0.9484852645831522,1.0216604672077756,0.003363103809564156,0.40410791910412835,-0.5159268980648917,0.7111569384353935,0.9344486877612096
case_00040,0.7418534568166548,459.76579598243177,0.8889154480201473,2107.607305405213,0.9647656864298834,490.8863541808056,7970.6634256384295,0.8915271651923351,0.9560126090737794,0.0034250972400527695,0.3787484550301843,-0.5371341086700013,0.7084169129745733,0.9381730407322403
case_00041,0.7611838017534058,224.1756750053127,0.9216268984972386,1444.7200892844596,0.9677488302521977,496.4523331301617,5554.704682132525,0.8020187722742411,0.8633032513144828,0.003443111244411874,0.35106725497736563,-0.5143545865374389,0.6673893769795988,0.916419235998166
case_00042,0.690353806342346,131.98062511592886,0.9380389748184044,1073.337703399434,0.964766337501723,499.61670924518546,4161.370188481801,0.9433278327092405,1.0121968853259604,0.0033927473021029293,0.37444254813624994,-0.5301087933197166,0.7185234419945747,0.9846544634804786
case_00043,0.7281781672735702,502.62451757279814,0.9025900816683201,2627.274590160025,0.9578078844760368,486.40630538819784,10006.473843067286,0.9394577576696739,1.017384056396415,0.0033353068806486483,0.4328228370980464,-0.5057769513824099,0.7032981729302799,0.8342275271228451
case_00044,0.8138657325473548,120.78947436867814,0.9634301731803981,1678.2256150455382,0.9773192819103378,494.449672627593,6592.112985813489,0.6731995495416968,0.7170314254808232,0.0035657357261775035,0.27035115683518574,-0.5869371307398569,0.6690646151030326,0.9096727271039279
case_00045,0.5865726487076275,39.73868720302256,0.9505290704816929,414.6719153751155,0.9638703866021903,505.1343572922244,1618.9489742974333,1.092272227430362,1.1639649337768492,0.003372635405816444,0.37502319742827483,-0.5713650732504216,0.7763723331758802,1.052830338381372
case_00046,0.8031007858964987,152.33763173529078,0.9210543883752421,978.850530495031,0.9706667067847998,500.25456449092667,3763.064490244845,0.6734628034069575,0.7302966752415139,0.0034754746416429372,0.32832840908811173,-0.465228193578348,0.5963259357141397,0.8359311233151916
case_00047,0.7338208784570549,338.84498667860566,0.8974016035899003,1697.8136609577207,0.9607339495409766,494.35464076446203,6452.409657152293,0.8859963229506149,0.9604328625405957,0.003358682316146327,0.40943433595964085,-0.48582524127344795,0.6757910975837883,0.8791964407761351
